username,num_nominations,url
nikkisiuhaiart,1,https://twitter.com/nikkisiuhaiart
arialxjade,1,https://twitter.com/arialxjade
crypto_karens,1,https://twitter.com/crypto_karens
LizWeickumArt,1,https://twitter.com/LizWeickumArt
cat_brown_art,1,https://twitter.com/cat_brown_art
na_havanna,1,https://twitter.com/na_havanna
Unskilledworker,1,https://twitter.com/Unskilledworker
skyistheanswer,1,https://twitter.com/skyistheanswer
Jesswilloww,1,https://twitter.com/Jesswilloww
elleseh,1,https://twitter.com/elleseh
_andrea_arroyo,1,https://twitter.com/_andrea_arroyo
crownandpalette,1,https://twitter.com/crownandpalette
niliaahn,1,https://twitter.com/niliaahn
rootsdawtah,1,https://twitter.com/rootsdawtah
monicaseggos,1,https://twitter.com/monicaseggos
YuChenChiu,1,https://twitter.com/YuChenChiu
KarrieRoss,1,https://twitter.com/KarrieRoss
OilSherry,1,https://twitter.com/OilSherry
ArzuKoch,1,https://twitter.com/ArzuKoch
ClareMaguire,1,https://twitter.com/ClareMaguire
june_redthread,1,https://twitter.com/june_redthread
corinnegweber,1,https://twitter.com/corinnegweber
